"component_id";"component_type";"component_name";"page_id";"role_id";"is_active"
46261416534307831;"PROCESS";"SAVE_CHECKLIST";105;"DEFAULT_USER";"Y"
46261416534307831;"PROCESS";"SAVE_CHECKLIST";105;"";""
46564247311936481;"PROCESS";"SAVE_ROLES";960;"ADMIN";"Y"
46564247311936481;"PROCESS";"SAVE_ROLES";960;"";""
46664603162363813;"BUTTON";"ADD_USER_WIZARD";950;"ADMIN";"Y"
46664603162363813;"BUTTON";"ADD_USER_WIZARD";950;"USERS_MANAGER";"Y"
46664603162363813;"BUTTON";"ADD_USER_WIZARD";950;"";""
46665616392363823;"ITEM";"P510_CLIENT_ID";510;"ADMIN";"Y"
46665616392363823;"ITEM";"P510_CLIENT_ID";510;"DEFAULT_USER";"Y"
46665616392363823;"ITEM";"P510_CLIENT_ID";510;"";""
46665731250363824;"ITEM";"P510_PROJECT_ID";510;"ADMIN";"Y"
46665731250363824;"ITEM";"P510_PROJECT_ID";510;"DEFAULT_USER";"Y"
46665731250363824;"ITEM";"P510_PROJECT_ID";510;"";""
46666150269363828;"ITEM";"P515_OWNER_ID";515;"ADMIN";"Y"
46666150269363828;"ITEM";"P515_OWNER_ID";515;"DEFAULT_USER";"Y"
46666150269363828;"ITEM";"P515_OWNER_ID";515;"";""
46666210044363829;"ITEM";"P515_REPO_ID";515;"ADMIN";"Y"
46666210044363829;"ITEM";"P515_REPO_ID";515;"DEFAULT_USER";"Y"
46666210044363829;"ITEM";"P515_REPO_ID";515;"";""
46666393692363830;"BUTTON";"SHOW_ENDPOINTS";510;"ADMIN";"Y"
46666393692363830;"BUTTON";"SHOW_ENDPOINTS";510;"DEFAULT_USER";"Y"
46666393692363830;"BUTTON";"SHOW_ENDPOINTS";510;"";""
46681691523104310;"BUTTON";"ADD_ROLE_WIZARD";960;"ADMIN";"Y"
46681691523104310;"BUTTON";"ADD_ROLE_WIZARD";960;"";""
46706714867202860;"ITEM";"P952_CLIENT_ID";952;"ADMIN";"Y"
46706714867202860;"ITEM";"P952_CLIENT_ID";952;"USERS_MANAGER";"Y"
46706714867202860;"ITEM";"P952_CLIENT_ID";952;"";""
46707814523202863;"BUTTON";"SHOW_ALL_USERS";952;"ADMIN";"Y"
46707814523202863;"BUTTON";"SHOW_ALL_USERS";952;"USERS_MANAGER";"Y"
46707814523202863;"BUTTON";"SHOW_ALL_USERS";952;"";""
46823989540379294;"PROCESS";"SAVE_MAP_PAGES";962;"ADMIN";"Y"
46823989540379294;"PROCESS";"SAVE_MAP_PAGES";962;"";""
46961454575773185;"ITEM";"P515_CLIENT_ID";515;"ADMIN";"Y"
46961454575773185;"ITEM";"P515_CLIENT_ID";515;"DEFAULT_USER";"Y"
46961454575773185;"ITEM";"P515_CLIENT_ID";515;"";""
46961773645775119;"ITEM";"P515_PROJECT_ID";515;"ADMIN";"Y"
46961773645775119;"ITEM";"P515_PROJECT_ID";515;"DEFAULT_USER";"Y"
46961773645775119;"ITEM";"P515_PROJECT_ID";515;"";""
47074927607134310;"BUTTON";"ADD_CLIENT_WIZARD";400;"ADMIN";"Y"
47074927607134310;"BUTTON";"ADD_CLIENT_WIZARD";400;"USERS_MANAGER";"Y"
47074927607134310;"BUTTON";"ADD_CLIENT_WIZARD";400;"";""
47075069952134311;"BUTTON";"ADD_PROJECT_WIZARD";300;"ADMIN";"Y"
47075069952134311;"BUTTON";"ADD_PROJECT_WIZARD";300;"PROJECT_MANAGER";"Y"
47075069952134311;"BUTTON";"ADD_PROJECT_WIZARD";300;"USERS_MANAGER";"Y"
47075069952134311;"BUTTON";"ADD_PROJECT_WIZARD";300;"";""
47075150734134312;"ITEM";"P955_PROJECT_ID";955;"ADMIN";"Y"
47075150734134312;"ITEM";"P955_PROJECT_ID";955;"USERS_MANAGER";"Y"
47075150734134312;"ITEM";"P955_PROJECT_ID";955;"";""
47078131334134342;"ITEM";"P900_CLIENT_ID";900;"ADMIN";"Y"
47078131334134342;"ITEM";"P900_CLIENT_ID";900;"DEFAULT_USER";"Y"
47078131334134342;"ITEM";"P900_CLIENT_ID";900;"";""
47078596180134346;"ITEM";"P900_PROJECT_ID";900;"ADMIN";"Y"
47078596180134346;"ITEM";"P900_PROJECT_ID";900;"DEFAULT_USER";"Y"
47078596180134346;"ITEM";"P900_PROJECT_ID";900;"";""
47106166497570773;"ITEM";"P955_CLIENT_ID";955;"ADMIN";"Y"
47106166497570773;"ITEM";"P955_CLIENT_ID";955;"USERS_MANAGER";"Y"
47106166497570773;"ITEM";"P955_CLIENT_ID";955;"";""
47116330648643693;"BUTTON";"SHOW_ALL_USERS";955;"ADMIN";"Y"
47116330648643693;"BUTTON";"SHOW_ALL_USERS";955;"USERS_MANAGER";"Y"
47116330648643693;"BUTTON";"SHOW_ALL_USERS";955;"";""
47118372380669459;"ITEM";"P955_ROLE_GROUP";955;"ADMIN";"Y"
47118372380669459;"ITEM";"P955_ROLE_GROUP";955;"USERS_MANAGER";"Y"
47118372380669459;"ITEM";"P955_ROLE_GROUP";955;"";""
47118799852669475;"ITEM";"P955_ROLE_ID";955;"ADMIN";"Y"
47118799852669475;"ITEM";"P955_ROLE_ID";955;"USERS_MANAGER";"Y"
47118799852669475;"ITEM";"P955_ROLE_ID";955;"";""
47219705769950931;"BUTTON";"REFRESH_MV";962;"ADMIN";"Y"
47219705769950931;"BUTTON";"REFRESH_MV";962;"";""
47373931873872489;"BUTTON";"REORDER_CATEGORIES";220;"ADMIN";"Y"
47373931873872489;"BUTTON";"REORDER_CATEGORIES";220;"BOARDS_MANAGER";"Y"
47373931873872489;"BUTTON";"REORDER_CATEGORIES";220;"";""
47381746804872511;"PROCESS";"REORDER_CATEGORIES";220;"ADMIN";"Y"
47381746804872511;"PROCESS";"REORDER_CATEGORIES";220;"BOARDS_MANAGER";"Y"
47381746804872511;"PROCESS";"REORDER_CATEGORIES";220;"";""
47405677838201653;"PROCESS";"REFRESH_MV";962;"ADMIN";"Y"
47405677838201653;"PROCESS";"REFRESH_MV";962;"";""
47508553836863703;"PROCESS";"SAVE_TABLES";965;"ADMIN";"Y"
47508553836863703;"PROCESS";"SAVE_TABLES";965;"";""
47576668215232118;"ITEM";"P110_SOURCE_CATEGORY";110;"ADMIN";"Y"
47576668215232118;"ITEM";"P110_SOURCE_CATEGORY";110;"DEFAULT_USER";"Y"
47576668215232118;"ITEM";"P110_SOURCE_CATEGORY";110;"";""
47576712051232119;"ITEM";"P110_CATEGORY_ID";110;"ADMIN";"Y"
47576712051232119;"ITEM";"P110_CATEGORY_ID";110;"DEFAULT_USER";"Y"
47576712051232119;"ITEM";"P110_CATEGORY_ID";110;"";""
47739135794626901;"REGION";"Tags &P105_BADGE_TAGS.";105;"ADMIN";"Y"
47739135794626901;"REGION";"Tags &P105_BADGE_TAGS.";105;"DEFAULT_USER";"Y"
47739135794626901;"REGION";"Tags &P105_BADGE_TAGS.";105;"";""
47739587996626905;"BUTTON";"JOIN_TASK";105;"ADMIN";"Y"
47739587996626905;"BUTTON";"JOIN_TASK";105;"DEFAULT_USER";"Y"
47739587996626905;"BUTTON";"JOIN_TASK";105;"";""
47742418320626934;"PROCESS";"SAVE_PROCEDURES";966;"ADMIN";"Y"
47742418320626934;"PROCESS";"SAVE_PROCEDURES";966;"";""
48050183510927105;"BUTTON";"&nbsp; &nbsp; &nbsp; ";963;"ADMIN";"Y"
48050183510927105;"BUTTON";"SYNC_REGIONS";963;"";""
48050530460927109;"PROCESS";"SAVE_COMPONENTS";963;"ADMIN";"Y"
48050530460927109;"PROCESS";"SAVE_COMPONENTS";963;"";""
48051562080927119;"PROCESS";"<span class=""fa fa-play-circle"" style=""color: #555; margin: 0.125rem 0.5rem 0 0;""></span>SYNC_REGIONS";963;"ADMIN";"Y"
48279797290040037;"PROCESS";"<span class=""fa fa-play-circle"" style=""color: #555; margin: 0.125rem 0.5rem 0 0;""></span>REORDER_STATUSES";960;"ADMIN";"Y"
48279797290040037;"PROCESS";"<span class=""fa fa-play-circle"" style=""color: #555; margin: 0.125rem 0.5rem 0 0;""></span>REORDER_STATUSES";960;"BOARDS_MANAGER";"Y"
48280136987043204;"BUTTON";"REORDER_ROLES";960;"ADMIN";"Y"
48280136987043204;"BUTTON";"REORDER_ROLES";960;"";""
48358233167512114;"GRID_COLUMN";"PARENT_ID";962;"ADMIN";"Y"
48358233167512114;"GRID_COLUMN";"PARENT_ID";962;"";""
48358361221512115;"GRID_COLUMN";"IS_HIDDEN";962;"ADMIN";"Y"
48358361221512115;"GRID_COLUMN";"IS_HIDDEN";962;"";""
48358474688512116;"GRID_COLUMN";"IS_RESET";962;"ADMIN";"Y"
48358474688512116;"GRID_COLUMN";"IS_RESET";962;"";""
48358560863512117;"GRID_COLUMN";"ORDER#";962;"ADMIN";"Y"
48358560863512117;"GRID_COLUMN";"ORDER#";962;"";""
48387700539767257;"ITEM";"P500_CLIENT_ID";500;"ADMIN";"Y"
48387700539767257;"ITEM";"P500_CLIENT_ID";500;"DEFAULT_USER";"Y"
48387700539767257;"ITEM";"P500_CLIENT_ID";500;"";""
48388072658768841;"ITEM";"P500_PROJECT_ID";500;"ADMIN";"Y"
48388072658768841;"ITEM";"P500_PROJECT_ID";500;"DEFAULT_USER";"Y"
48388072658768841;"ITEM";"P500_PROJECT_ID";500;"";""
48503448101203306;"BUTTON";"COPY_STATUSES";230;"ADMIN";"Y"
48503448101203306;"BUTTON";"COPY_STATUSES";230;"BOARDS_MANAGER";"Y"
48503448101203306;"BUTTON";"COPY_STATUSES";230;"";""
48504452228203316;"ITEM";"P100_OWNER_ID";100;"ADMIN";"Y"
48504452228203316;"ITEM";"P100_OWNER_ID";100;"DEFAULT_USER";"Y"
48504452228203316;"ITEM";"P100_OWNER_ID";100;"";""
48658486533689420;"BUTTON";"REFRESH_MV";963;"ADMIN";"Y"
48658486533689420;"BUTTON";"REFRESH_MV";963;"";""
48658679601691008;"PROCESS";"REFRESH_MV";963;"ADMIN";"Y"
48658679601691008;"PROCESS";"REFRESH_MV";963;"";""
